Comunidades y Ciudades Autónomas de destino;País de residencia;Periodo;Total
Andalucía;Total;2025T2;443,24
Andalucía;Total;2025T1;500,83
Andalucía;Total;2024T4;451,81
Andalucía;Total;2024T3;483,88
Andalucía;Total;2024T2;433,29
Andalucía;Total;2024T1;492,00
Andalucía;Total;2023T4;441,29
Andalucía;Total;2023T3;458,45
Andalucía;Total;2023T2;437,08
Andalucía;Total;2023T1;439,40
Andalucía;Total;2022T4;432,22
Andalucía;Total;2022T3;455,29
Andalucía;Total;2022T2;408,53
Andalucía;Total;2022T1;463,00
Andalucía;Total;2021T4;437,77
Andalucía;Total;2021T3;421,85
Andalucía;Total;2021T2;350,90
Andalucía;Total;2021T1;381,40
Andalucía;Total;2020T4;357,56
Andalucía;Total;2020T3;340,63
Andalucía;Total;2020T2;.
Andalucía;Total;2020T1;381,57
Andalucía;Total;2019T4;352,11
Andalucía;Total;2019T3;372,15
Andalucía;Total;2019T2;351,80
Andalucía;Total;2019T1;421,11
Andalucía;Total;2018T4;384,88
Andalucía;Total;2018T3;376,91
Andalucía;Total;2018T2;335,44
Andalucía;Total;2018T1;412,07
Andalucía;Alemania;2025T2;468,22
Andalucía;Alemania;2025T1;553,53
Andalucía;Alemania;2024T4;485,47
Andalucía;Alemania;2024T3;489,88
Andalucía;Alemania;2024T2;470,79
Andalucía;Alemania;2024T1;559,42
Andalucía;Alemania;2023T4;492,04
Andalucía;Alemania;2023T3;486,55
Andalucía;Alemania;2023T2;492,51
Andalucía;Alemania;2023T1;506,68
Andalucía;Alemania;2022T4;481,72
Andalucía;Alemania;2022T3;491,56
Andalucía;Alemania;2022T2;476,37
Andalucía;Alemania;2022T1;516,17
Andalucía;Alemania;2021T4;500,50
Andalucía;Alemania;2021T3;469,63
Andalucía;Alemania;2021T2;406,64
Andalucía;Alemania;2021T1;444,42
Andalucía;Alemania;2020T4;422,58
Andalucía;Alemania;2020T3;407,31
Andalucía;Alemania;2020T2;.
Andalucía;Alemania;2020T1;501,53
Andalucía;Alemania;2019T4;455,48
Andalucía;Alemania;2019T3;466,48
Andalucía;Alemania;2019T2;455,17
Andalucía;Alemania;2019T1;541,75
Andalucía;Alemania;2018T4;483,44
Andalucía;Alemania;2018T3;460,92
Andalucía;Alemania;2018T2;425,37
Andalucía;Alemania;2018T1;519,62
Andalucía;Andorra;2025T2;.
Andalucía;Andorra;2025T1;.
Andalucía;Andorra;2024T4;.
Andalucía;Andorra;2024T3;.
Andalucía;Andorra;2024T2;.
Andalucía;Andorra;2024T1;.
Andalucía;Andorra;2023T4;.
Andalucía;Andorra;2023T3;.
Andalucía;Andorra;2023T2;.
Andalucía;Andorra;2023T1;.
Andalucía;Andorra;2022T4;588,92
Andalucía;Andorra;2022T3;566,49
Andalucía;Andorra;2022T2;537,77
Andalucía;Andorra;2022T1;643,51
Andalucía;Andorra;2021T4;557,22
Andalucía;Andorra;2021T3;488,78
